cohort,image,count_classical,count_cellpose,count_stardist,iou_classical_vs_cellpose,iou_classical_vs_stardist,iou_cellpose_vs_stardist
BRC,Image1.png,577,588,495,0.4248,0.4584,0.6802
BRC,Image10.png,541,666,608,0.6535,0.6609,0.6346
BRC,Image2.png,841,886,809,0.6542,0.6869,0.6719
BRC,Image3.png,1084,1191,1079,0.7196,0.7097,0.6748
BRC,Image4.png,793,852,783,0.6276,0.6694,0.6489
BRC,Image5.png,100,65,56,0.2207,0.6131,0.2291
BRC,Image6.png,506,442,401,0.5313,0.5578,0.6582
BRC,Image7.png,347,205,233,0.5573,0.6157,0.7089
BRC,Image8.png,254,152,164,0.5508,0.6165,0.6344
BRC,Image9.png,661,743,681,0.7161,0.6847,0.7065
CRC,Image1.png,334,294,286,0.5957,0.6519,0.7069
CRC,Image10.png,336,446,361,0.448,0.4445,0.5435
CRC,Image2.png,504,404,383,0.5883,0.5872,0.6677
CRC,Image3.png,376,359,335,0.6371,0.6724,0.6911
CRC,Image4.png,521,572,486,0.5415,0.5376,0.6276
CRC,Image5.png,1288,1470,1173,0.706,0.6703,0.6456
CRC,Image6.png,461,346,311,0.3752,0.4766,0.5285
CRC,Image7.png,704,813,596,0.5876,0.6051,0.5856
CRC,Image8.png,317,276,240,0.4874,0.5018,0.6048
CRC,Image9.png,550,519,430,0.4909,0.5645,0.5922
HCC,Image1.png,174,106,112,0.6476,0.6174,0.6674
HCC,Image10.png,353,310,223,0.5357,0.5573,0.566
HCC,Image2.png,350,398,275,0.6724,0.6175,0.6196
HCC,Image3.png,434,458,297,0.782,0.644,0.6428
HCC,Image4.png,317,311,268,0.7958,0.727,0.768
HCC,Image5.png,407,409,320,0.7633,0.6929,0.7028
HCC,Image6.png,420,283,323,0.5335,0.585,0.6397
HCC,Image7.png,193,145,128,0.5452,0.5893,0.6614
HCC,Image8.png,469,451,406,0.6516,0.6584,0.7171
HCC,Image9.png,445,407,423,0.6816,0.6985,0.6789
NSCLC_AD,Image1.png,280,254,216,0.5955,0.5818,0.6027
NSCLC_AD,Image10.png,408,254,274,0.4966,0.5352,0.7292
NSCLC_AD,Image2.png,611,642,602,0.5754,0.6105,0.6439
NSCLC_AD,Image3.png,443,305,319,0.3715,0.4161,0.7145
NSCLC_AD,Image4.png,390,292,309,0.5921,0.616,0.685
NSCLC_AD,Image5.png,589,612,515,0.4766,0.4945,0.6795
NSCLC_AD,Image6.png,421,472,383,0.4591,0.4472,0.6757
NSCLC_AD,Image7.png,378,249,257,0.4784,0.5047,0.6772
NSCLC_AD,Image8.png,700,804,549,0.6004,0.5447,0.5671
NSCLC_AD,Image9.png,382,234,238,0.4138,0.4519,0.6621
NSCLC_SCC,Image1.png,704,724,613,0.6198,0.6362,0.656
NSCLC_SCC,Image10.png,288,327,190,0.5744,0.5384,0.5106
NSCLC_SCC,Image2.png,488,345,364,0.4656,0.528,0.6696
NSCLC_SCC,Image3.png,483,541,424,0.5875,0.6083,0.6369
NSCLC_SCC,Image4.png,398,341,270,0.5158,0.5581,0.5823
NSCLC_SCC,Image5.png,675,821,672,0.5663,0.572,0.6331
NSCLC_SCC,Image6.png,363,381,325,0.4837,0.5623,0.5683
NSCLC_SCC,Image7.png,419,515,465,0.4928,0.5189,0.5283
NSCLC_SCC,Image8.png,270,278,194,0.5928,0.5556,0.5793
NSCLC_SCC,Image9.png,903,1139,919,0.7105,0.6617,0.6528
