method,cohort,images,total_nuclei,count_mean,count_std,area_mean_px,density_mean,density_std
classical,BRC,10,5704,570.4,292.7107787560957,116.81875440981271,2047.7840205352816,1050.856338315517
classical,CRC,10,5391,539.1,289.64861854015845,130.21062964092056,1935.4143854673396,1039.8629253447682
classical,HCC,10,3562,356.2,102.59391361631113,117.71131716957477,1278.7879875783087,368.3207870050122
classical,NSCLC_AD,10,4602,460.2,129.813370309499,96.13505268595047,1652.1567430756252,466.0409280708646
classical,NSCLC_SCC,10,4991,499.1,202.38931131196958,80.18347592101007,1791.8110179683713,726.5946662548945
cellpose,BRC,10,5790,579.0,362.55850102661594,115.37956862220506,2078.6587445475598,1301.6155415700011
cellpose,CRC,10,5499,549.9,360.2244516347489,95.21165621131826,1974.1872946920607,1293.2361077554754
cellpose,HCC,10,3278,327.8,122.5387013695401,112.78565896085479,1176.8295966540416,439.9242541404086
cellpose,NSCLC_AD,10,4118,411.8,206.61117534581177,117.31149243945818,1478.3966684018742,741.7515135644574
cellpose,NSCLC_SCC,10,5412,541.2,276.7167826095443,72.78869980978232,1942.9535622610351,993.4365456552595
stardist,BRC,10,5309,530.9,322.63410648390334,140.2333193403749,1905.9756951300508,1158.2836040277275
stardist,CRC,10,4601,460.1,270.9392920932658,115.0446701230331,1651.7977346568775,972.6948683094859
stardist,HCC,10,2775,277.5,102.60306471489478,140.14197686438894,996.2483620240895,368.35364021933543
stardist,NSCLC_AD,10,3662,366.2,139.98476107538752,141.5525867696465,1314.6888294530506,502.5570772241021
stardist,NSCLC_SCC,10,4436,443.6,232.10687193618375,99.18347331189076,1592.5613455635535,833.2832107421915
