cohort,image,nucleus_count,mean_area_px,median_area_px,std_area_px,mean_eccentricity,mean_solidity,density_per_megapixel,method
BRC,Image1.png,577,81.16637781629116,76.0,41.742920979144714,0.6476912429232689,0.937401605020524,2071.478576172611,classical
BRC,Image10.png,541,118.99260628465804,83.0,125.29868175517394,0.6772654833069583,0.9356479371268004,1942.2355454235403,classical
BRC,Image2.png,841,80.15695600475624,77.0,32.56741442806866,0.6202731414258594,0.9503595367293334,3019.260801665799,classical
BRC,Image3.png,1084,75.84778597785977,71.0,30.301953414045144,0.6145323335128365,0.9590675158428562,3891.651259222029,classical
BRC,Image4.png,793,104.40100882723831,82.0,99.71828211079723,0.6633856242023372,0.940125843058148,2846.9367606670376,classical
BRC,Image5.png,100,170.83,148.5,104.1170547989137,0.6749776193476948,0.9198458891358852,359.0084187474196,classical
BRC,Image6.png,506,144.401185770751,104.0,132.65640749389692,0.7154903835058958,0.9081121359538544,1816.582598861943,classical
BRC,Image7.png,347,164.014409221902,111.0,142.37555289890076,0.7173660909623971,0.8993578893754158,1245.759213053546,classical
BRC,Image8.png,254,154.8976377952756,100.0,157.7449768168718,0.6988367832156122,0.9153010950115736,911.881383618446,classical
BRC,Image9.png,661,73.47957639939486,69.0,29.662166754690116,0.6117847777815161,0.9590290990101756,2373.045647920444,classical
CRC,Image1.png,334,114.01796407185628,97.0,77.38947870233439,0.7071233581533872,0.9401125323432484,1199.0881186163815,classical
CRC,Image10.png,336,290.9761904761905,122.0,518.1862594020673,0.7291577099260931,0.9101141681941156,1206.26828699133,classical
CRC,Image2.png,504,157.02579365079364,109.0,169.75323280860746,0.7103300191479636,0.9199401920084184,1809.402430486995,classical
CRC,Image3.png,376,95.66489361702128,85.0,52.58902726632686,0.711104851161845,0.939985257771289,1349.871654490298,classical
CRC,Image4.png,521,124.22456813819578,81.0,147.9327979757836,0.6977075532346707,0.9360976724524702,1870.4338616740563,classical
CRC,Image5.png,1288,73.95419254658385,69.0,31.009168867467643,0.6461220240128703,0.9490853708081268,4624.028433466765,classical
CRC,Image6.png,461,84.67895878524946,74.0,48.93061371543178,0.72079382326864,0.9238552970586632,1655.028810425605,classical
CRC,Image7.png,704,87.6065340909091,70.0,84.29727910273165,0.6700558351499915,0.9448176106506682,2527.4192679818343,classical
CRC,Image8.png,317,186.11356466876973,106.0,253.78210375879448,0.7361531871852337,0.9170617251415878,1138.0566874293202,classical
CRC,Image9.png,550,87.84363636363636,78.0,67.67578528579914,0.6882759296128839,0.937138079333518,1974.546303110808,classical
HCC,Image1.png,174,137.0344827586207,110.5,88.12744797622035,0.7107341899634155,0.9280200619790872,624.6746486205102,classical
HCC,Image10.png,353,96.02832861189802,84.0,54.43341220820681,0.7728269094072229,0.927776827051588,1267.2997181783912,classical
HCC,Image2.png,350,76.19428571428571,65.0,50.194842893082395,0.6887011088325263,0.9420562424777144,1256.5294656159688,classical
HCC,Image3.png,434,94.16359447004608,81.0,52.00875911678536,0.794894179847784,0.9255528385377022,1558.0965373638012,classical
HCC,Image4.png,317,141.9621451104101,107.0,102.25306557136732,0.7408813794934117,0.9294567909282536,1138.0566874293202,classical
HCC,Image5.png,407,108.67321867321868,94.0,63.34930149737448,0.7331813193842636,0.9336512870080172,1461.164264301998,classical
