cohort,image,nucleus_count
BRC,Image1.png,499
BRC,Image10.png,509
BRC,Image2.png,767
BRC,Image3.png,1065
BRC,Image4.png,670
BRC,Image5.png,68
BRC,Image6.png,374
BRC,Image7.png,252
BRC,Image8.png,300
BRC,Image9.png,729
CRC,Image1.png,262
CRC,Image10.png,222
CRC,Image2.png,280
CRC,Image3.png,312
CRC,Image4.png,300
CRC,Image5.png,1152
CRC,Image6.png,264
CRC,Image7.png,589
CRC,Image8.png,218
CRC,Image9.png,362
HCC,Image1.png,179
HCC,Image10.png,321
HCC,Image2.png,381
HCC,Image3.png,315
HCC,Image4.png,269
HCC,Image5.png,368
HCC,Image6.png,257
HCC,Image7.png,90
HCC,Image8.png,361
HCC,Image9.png,396
NSCLC_AD,Image1.png,197
NSCLC_AD,Image10.png,246
NSCLC_AD,Image2.png,429
NSCLC_AD,Image3.png,272
NSCLC_AD,Image4.png,314
NSCLC_AD,Image5.png,395
NSCLC_AD,Image6.png,508
NSCLC_AD,Image7.png,360
NSCLC_AD,Image8.png,609
NSCLC_AD,Image9.png,264
NSCLC_SCC,Image1.png,540
NSCLC_SCC,Image10.png,213
NSCLC_SCC,Image2.png,285
NSCLC_SCC,Image3.png,357
NSCLC_SCC,Image4.png,266
NSCLC_SCC,Image5.png,635
NSCLC_SCC,Image6.png,329
NSCLC_SCC,Image7.png,474
NSCLC_SCC,Image8.png,264
NSCLC_SCC,Image9.png,913
