cohort,image,count_classical,count_cellpose,count_stardist,iou_classical_vs_cellpose,iou_classical_vs_stardist,iou_cellpose_vs_stardist
BRC,Image1.png,517,591,503,0.4112,0.4306,0.6885
BRC,Image10.png,245,747,273,0.1992,0.1926,0.3429
BRC,Image2.png,128,738,549,0.0881,0.1161,0.5745
BRC,Image3.png,59,1119,616,0.0295,0.0398,0.5192
BRC,Image4.png,462,531,528,0.5284,0.4652,0.5611
BRC,Image5.png,70,34,42,0.2646,0.3406,0.1852
BRC,Image6.png,88,243,315,0.1388,0.0795,0.3195
BRC,Image7.png,198,113,204,0.196,0.1936,0.4514
BRC,Image8.png,66,12,126,0.0147,0.1151,0.0849
BRC,Image9.png,182,751,303,0.1461,0.1698,0.3778
CRC,Image1.png,322,304,300,0.6667,0.6648,0.6472
CRC,Image10.png,431,622,360,0.2804,0.3708,0.3555
CRC,Image2.png,172,318,366,0.2623,0.1429,0.3756
CRC,Image3.png,220,459,269,0.317,0.3178,0.5015
CRC,Image4.png,487,588,484,0.5039,0.6067,0.4401
CRC,Image5.png,663,1451,520,0.3408,0.3309,0.3708
CRC,Image6.png,447,407,304,0.5003,0.4602,0.5509
CRC,Image7.png,473,722,432,0.5469,0.4455,0.519
CRC,Image8.png,125,296,286,0.1881,0.0933,0.328
CRC,Image9.png,331,722,324,0.3294,0.2427,0.3468
HCC,Image1.png,396,139,167,0.041,0.326,0.0203
HCC,Image10.png,280,387,253,0.4535,0.4943,0.5777
HCC,Image2.png,192,628,183,0.0013,0.1447,0.012
HCC,Image3.png,472,491,186,0.054,0.1883,0.0518
HCC,Image4.png,208,323,158,0.0502,0.2312,0.0334
HCC,Image5.png,364,251,95,0.0929,0.1543,0.061
HCC,Image6.png,430,301,250,0.1504,0.3832,0.2866
HCC,Image7.png,116,111,115,0.3228,0.1659,0.277
HCC,Image8.png,361,525,202,0.0839,0.3383,0.1363
HCC,Image9.png,495,412,325,0.0581,0.4348,0.2297
NSCLC_AD,Image1.png,290,244,198,0.5823,0.563,0.6058
NSCLC_AD,Image10.png,321,129,123,0.0293,0.278,0.0988
NSCLC_AD,Image2.png,299,813,529,0.2332,0.2762,0.5268
NSCLC_AD,Image3.png,420,340,342,0.4352,0.4189,0.6913
NSCLC_AD,Image4.png,288,242,216,0.2831,0.3201,0.3101
NSCLC_AD,Image5.png,374,875,389,0.2124,0.2349,0.3355
NSCLC_AD,Image6.png,309,490,182,0.3942,0.1268,0.2867
NSCLC_AD,Image7.png,286,102,165,0.281,0.229,0.2069
NSCLC_AD,Image8.png,335,1173,221,0.1961,0.2293,0.2142
NSCLC_AD,Image9.png,344,164,183,0.1622,0.3449,0.2767
NSCLC_SCC,Image1.png,209,655,487,0.1764,0.1963,0.5363
NSCLC_SCC,Image10.png,425,462,91,0.0252,0.2591,0.0128
NSCLC_SCC,Image2.png,364,321,115,0.2582,0.2425,0.2728
NSCLC_SCC,Image3.png,481,606,443,0.6142,0.5795,0.6335
NSCLC_SCC,Image4.png,156,358,254,0.2371,0.2307,0.5087
NSCLC_SCC,Image5.png,242,742,475,0.226,0.2103,0.4962
NSCLC_SCC,Image6.png,54,332,179,0.0869,0.1083,0.3485
NSCLC_SCC,Image7.png,367,512,417,0.3992,0.5015,0.5346
NSCLC_SCC,Image8.png,493,171,83,0.1458,0.1796,0.1072
NSCLC_SCC,Image9.png,440,1127,602,0.3279,0.3577,0.5415
