method,cohort,images,total_nuclei,count_mean,count_std,area_mean_px,density_mean,density_std
classical,BRC,10,2015,201.5,164.63039411562698,59.663916312157596,723.4019637760506,591.0369746921574
classical,CRC,10,3671,367.1,165.08142771910406,76.46053951639503,1317.9199052217778,592.65622330002
classical,HCC,10,3314,331.4,127.39544732838769,200.70403108264654,1189.7538997289485,457.36038100984644
classical,NSCLC_AD,10,3266,326.6,43.36460410160444,118.08995856148962,1172.5214956290724,155.68257948124878
classical,NSCLC_SCC,10,3231,323.1,149.58494428101898,93.17827330016067,1159.956200972913,537.022543147495
cellpose,BRC,10,4879,487.9,371.5898126817915,121.38940878042425,1751.6020750686607,1334.0387107353984
cellpose,CRC,10,5889,588.9,344.81088214330543,85.30070812145661,2114.2005780035543,1237.9000956517093
cellpose,HCC,10,3568,356.8,165.70174008340004,150.46827230286402,1280.9420380907934,594.8831969103737
cellpose,NSCLC_AD,10,4572,457.2,371.1761486590071,126.64955459594094,1641.3864905132027,1332.553622068273
cellpose,NSCLC_SCC,10,5286,528.6,272.64800262120633,88.9643405661684,1897.7185014988602,978.8292829568161
stardist,BRC,10,3459,345.9,194.65094114565406,138.0836987167641,1241.8101204473246,698.8132658839831
stardist,CRC,10,3645,364.5,86.78357499486229,132.91999608245632,1308.5856863343445,311.5603403215363
stardist,HCC,10,1934,193.4,68.38648339482819,415.040286981014,694.3222818575098,245.51323267273938
stardist,NSCLC_AD,10,2548,254.8,125.85865087470148,210.42745542629322,914.7534509684252,451.8431523621012
stardist,NSCLC_SCC,10,3146,314.6,191.6467815771736,202.9399771008751,1129.440485379382,688.0280801205321
